(Filename, System, Human) = (n,k,l,observed_overlap, baseline, i-measure, normalized_i-measure))
(D31043.APW19981130.1079, H, F) = (210, 7, 8, 5, 0.26666666666666666, 18.75, 1.0)
(D31043.APW19981130.1079, H, D) = (210, 7, 8, 2, 0.26666666666666666, 7.5, 0.4)
(D30026.NYT19981101.0082, C, D) = (373, 7, 8, 2, 0.15013404825737264, 13.321428571428573, 0.5)
(D30026.NYT19981101.0082, C, H) = (373, 7, 7, 2, 0.13136729222520108, 15.224489795918366, 0.5714285714285713)
(D30026.NYT19981101.0082, C, A) = (373, 7, 8, 2, 0.15013404825737264, 13.321428571428573, 0.5)
(D30026.NYT19981101.0082, D, C) = (373, 8, 7, 2, 0.15013404825737264, 13.321428571428573, 0.5)
(D30026.NYT19981101.0082, D, H) = (373, 8, 7, 4, 0.15013404825737264, 26.642857142857146, 1.0)
(D30026.NYT19981101.0082, D, A) = (373, 8, 8, 2, 0.17158176943699732, 11.65625, 0.43749999999999994)
(D30026.NYT19981101.0082, H, C) = (373, 7, 7, 2, 0.13136729222520108, 15.224489795918366, 0.5714285714285713)
(D30026.NYT19981101.0082, H, D) = (373, 7, 8, 4, 0.15013404825737264, 26.642857142857146, 1.0)
(D30026.NYT19981101.0082, H, A) = (373, 7, 8, 3, 0.15013404825737264, 19.982142857142858, 0.7499999999999999)
(D30026.NYT19981101.0082, A, C) = (373, 8, 7, 2, 0.15013404825737264, 13.321428571428573, 0.5)
(D30026.NYT19981101.0082, A, D) = (373, 8, 8, 2, 0.17158176943699732, 11.65625, 0.43749999999999994)
(D30026.NYT19981101.0082, A, H) = (373, 8, 7, 3, 0.15013404825737264, 19.982142857142858, 0.7499999999999999)
(D31043.APW19981128.0178, G, F) = (173, 8, 9, 1, 0.4161849710982659, 2.4027777777777777, 0.375)
(D31043.APW19981128.0178, G, D) = (173, 8, 9, 0, 0.4161849710982659, 0.0, 0.0)
(D31043.APW19981128.0178, G, H) = (173, 8, 8, 2, 0.3699421965317919, 5.40625, 0.84375)
